Model,Accuracy,F1,Precision,Recall,ROC-AUC
Logistic Regression,0.735973597359736,0.1111111111111111,1.0,0.058823529411764705,0.6264436049649217
Random Forest,0.7194719471947195,0.17475728155339806,0.5,0.10588235294117647,0.5797085806799784
Gradient Boosting,0.7293729372937293,0.22641509433962265,0.5714285714285714,0.1411764705882353,0.5932271991365353
GCN,0.7194719471947195,0.0,0.0,0.0,0.5424177010253642
GAT,0.7194719471947195,0.0,0.0,0.0,0.5479222881813275
