Model,Accuracy,F1,Precision,Recall,ROC-AUC
Logistic Regression,0.19801980198019803,0.016194331983805668,1.0,0.00816326530612245,0.4427867698803659
Random Forest,0.19141914191419143,0.0,0.0,0.0,0.795707248416608
Gradient Boosting,0.19141914191419143,0.0,0.0,0.0,0.7647431386347643
SVM (RBF),0.36303630363036304,0.3501683501683502,1.0,0.21224489795918366,0.8398311048557354
GCN,0.7392739273927392,0.8149882903981265,0.9560439560439561,0.710204081632653,0.9194229415904291
GAT,0.7491749174917491,0.8264840182648402,0.9378238341968912,0.7387755102040816,0.8492610837438423
GraphSAGE,0.8712871287128713,0.9205702647657841,0.9186991869918699,0.9224489795918367,0.8962702322308234
