Model,Accuracy,F1,Precision,Recall,ROC-AUC
Logistic Regression,0.7995049504950495,0.19801980198019803,0.8695652173913043,0.11173184357541899,0.7157321633167837
Random Forest,0.8056930693069307,0.2764976958525346,0.7894736842105263,0.16759776536312848,0.7608467817143466
Gradient Boosting,0.7939356435643564,0.3076923076923077,0.6016260162601627,0.20670391061452514,0.6807826558073025
SVM (RBF),0.7858910891089109,0.13930348258706468,0.6363636363636364,0.0782122905027933,0.6067469868817223
GCN,0.7438118811881188,0.40173410404624277,0.4161676646706587,0.388268156424581,0.6954696645380182
GAT,0.7537128712871287,0.4147058823529412,0.43788819875776397,0.39385474860335196,0.6852479327832597
GraphSAGE,0.4975247524752475,0.41750358680057387,0.2808880308880309,0.8128491620111732,0.6776318711087033
